,State,Year,Prod. Renewable (Bil. Btu),Pop. (1000s),Energy Pr. ($/mil. btu),Difference
2043,Arizona,2010,85935.0,6408.0,22.3,-1297912.0
2094,Arizona,2011,113360.0,6473.0,25.4,-1310863.0
2145,Arizona,2012,98806.0,6557.0,26.2,-1295284.0
2196,Arizona,2013,98826.0,6635.0,25.9,-1312765.0
2247,Arizona,2014,120013.0,6734.0,25.8,-1300232.0
2298,Arizona,2015,129241.0,6834.0,22.5,-1313153.0
2349,Arizona,2016,139197.0,6945.0,20.6,-1334479.0
2400,Arizona,2017,148680.0,7049.0,22.3,-1326707.0
2487,Arizona,2018,116097.4,7197.3,24.1,-1462372.6
2488,Arizona,2019,116555.2,7314.4,24.5,-1483238.1
2489,Arizona,2020,117013.0,7431.4,25.0,-1504103.5
2490,Arizona,2021,117470.7,7548.4,25.5,-1524969.0
2491,Arizona,2022,117928.5,7665.5,25.9,-1545834.5
2492,Arizona,2023,118386.3,7782.5,26.4,-1566700.0
2493,Arizona,2024,118844.0,7899.5,26.9,-1587565.4
2494,Arizona,2025,119301.8,8016.6,27.4,-1608430.9
2495,Arizona,2026,119759.6,8133.6,27.8,-1629296.4
2496,Arizona,2027,120217.3,8250.6,28.3,-1650161.9
2497,Arizona,2028,120675.1,8367.7,28.8,-1671027.3
2498,Arizona,2029,121132.9,8484.7,29.2,-1691892.8
2499,Arizona,2030,121590.6,8601.7,29.7,-1712758.3
2,Arkansas,1970,56933.0,1932.0,1.5,-651971.0
53,Arkansas,1971,53579.0,1972.0,1.6,-647157.0
104,Arkansas,1972,53917.0,2019.0,1.7,-690717.0
155,Arkansas,1973,81723.0,2059.0,1.8,-738360.0
206,Arkansas,1974,81339.0,2101.0,2.5,-716994.0
257,Arkansas,1975,71589.0,2160.0,3.0,-714070.0
308,Arkansas,1976,62300.0,2170.0,3.3,-778530.0
359,Arkansas,1977,69746.0,2209.0,3.8,-816546.0
410,Arkansas,1978,77088.0,2243.0,4.0,-809952.0
461,Arkansas,1979,80773.0,2271.0,4.7,-791914.0
512,Arkansas,1980,69996.0,2289.0,6.6,-789242.0
563,Arkansas,1981,68190.0,2293.0,7.4,-753610.0
614,Arkansas,1982,77582.0,2294.0,7.8,-714880.0
665,Arkansas,1983,95310.0,2306.0,7.8,-701277.0
716,Arkansas,1984,91421.0,2320.0,7.8,-707584.0
767,Arkansas,1985,109186.0,2327.0,8.0,-680327.0
818,Arkansas,1986,91234.0,2332.0,7.5,-668330.0
869,Arkansas,1987,86688.0,2342.0,8.0,-649482.0
920,Arkansas,1988,92546.0,2343.0,7.5,-725174.0
971,Arkansas,1989,119759.0,2346.0,7.2,-763096.0
1022,Arkansas,1990,109997.0,2357.0,8.2,-745788.0
1073,Arkansas,1991,109823.0,2383.0,8.3,-735538.0
1124,Arkansas,1992,112587.0,2416.0,8.1,-761724.0
1175,Arkansas,1993,133646.0,2456.0,8.1,-814845.0
1226,Arkansas,1994,119581.0,2494.0,7.9,-859775.0
1277,Arkansas,1995,117474.0,2535.0,7.6,-912697.0
1328,Arkansas,1996,118017.0,2572.0,8.1,-929821.0
1379,Arkansas,1997,124045.0,2601.0,8.2,-942983.0
1430,Arkansas,1998,114927.0,2626.0,7.7,-972172.0
1481,Arkansas,1999,110822.0,2652.0,7.9,-993559.0
1532,Arkansas,2000,108634.0,2679.0,9.5,-1036155.0
1583,Arkansas,2001,94001.0,2692.0,10.2,-1005773.0
1634,Arkansas,2002,108618.0,2706.0,9.4,-1013577.0
1685,Arkansas,2003,107905.0,2725.0,10.2,-996070.0
1736,Arkansas,2004,112915.0,2750.0,12.0,-982217.0
1787,Arkansas,2005,112451.0,2781.0,14.5,-1005972.0
1838,Arkansas,2006,99990.0,2822.0,15.8,-1014553.0
1889,Arkansas,2007,120733.0,2849.0,16.7,-1007504.0
1940,Arkansas,2008,123354.0,2875.0,20.0,-986341.0
1991,Arkansas,2009,124205.0,2897.0,15.6,-917349.0
2042,Arkansas,2010,125229.0,2922.0,16.9,-1001755.0
2093,Arkansas,2011,121171.0,2940.0,19.6,-1007937.0
2144,Arkansas,2012,111565.0,2952.0,19.8,-961038.0
2195,Arkansas,2013,116588.0,2960.0,19.3,-987982.0
2246,Arkansas,2014,116381.0,2968.0,18.9,-1005501.0
2297,Arkansas,2015,113410.0,2978.0,15.9,-948814.0
2348,Arkansas,2016,110079.0,2990.0,14.6,-944101.0
2399,Arkansas,2017,109448.0,3003.0,15.8,-948195.0
2474,Arkansas,2018,131156.3,3052.7,17.8,-1043132.2
2475,Arkansas,2019,132368.5,3074.5,18.2,-1050936.0
2476,Arkansas,2020,133580.8,3096.4,18.5,-1058739.7
2477,Arkansas,2021,134793.1,3118.2,18.8,-1066543.5
2478,Arkansas,2022,136005.3,3140.0,19.2,-1074347.2
2479,Arkansas,2023,137217.6,3161.8,19.5,-1082150.9
2480,Arkansas,2024,138429.8,3183.7,19.9,-1089954.7
2481,Arkansas,2025,139642.1,3205.5,20.2,-1097758.4
2482,Arkansas,2026,140854.4,3227.3,20.6,-1105562.2
2483,Arkansas,2027,142066.6,3249.1,20.9,-1113365.9
2484,Arkansas,2028,143278.9,3271.0,21.2,-1121169.6
2485,Arkansas,2029,144491.2,3292.8,21.6,-1128973.4
2486,Arkansas,2030,145703.4,3314.6,21.9,-1136777.1
4,California,1970,521978.0,20007.0,1.7,-4977161.0
55,California,1971,533790.0,20346.0,1.8,-5213866.0
106,California,1972,472312.0,20585.0,1.9,-5399699.0
157,California,1973,553162.0,20869.0,2.1,-5493907.0
208,California,1974,645073.0,21174.0,3.0,-5171251.0
259,California,1975,578578.0,21538.0,3.5,-5454267.0
310,California,1976,422852.0,21936.0,3.8,-5763460.0
361,California,1977,338073.0,22352.0,4.3,-6023393.0
412,California,1978,576601.0,22836.0,4.6,-5896095.0
463,California,1979,559806.0,23257.0,5.5,-6167815.0
514,California,1980,591928.0,23801.0,7.7,-5948544.0
565,California,1981,502232.0,24286.0,8.8,-5829973.0
616,California,1982,698981.0,24820.0,9.3,-5377069.0
667,California,1983,807128.0,25360.0,8.8,-5285188.0
718,California,1984,693614.0,25844.0,8.8,-5839566.0
769,California,1985,593488.0,26441.0,8.9,-6008001.0
820,California,1986,666981.0,27102.0,7.8,-5834140.0
871,California,1987,522673.0,27777.0,7.7,-6415802.0
922,California,1988,512100.0,28464.0,7.9,-6631683.0
973,California,1989,738917.0,29218.0,8.3,-6681410.0
1024,California,1990,669326.0,29960.0,9.0,-6774424.0
1075,California,1991,653513.0,30471.0,9.1,-6688756.0
1126,California,1992,642293.0,30975.0,9.6,-6665918.0
1177,California,1993,820783.0,31275.0,9.6,-6325743.0
1228,California,1994,633599.0,31484.0,9.6,-6640004.0
1279,California,1995,846185.0,31697.0,9.7,-6451293.0
1330,California,1996,817736.0,32019.0,10.0,-6604607.0
1381,California,1997,760278.0,32486.0,10.4,-6778506.0
1432,California,1998,832978.0,32988.0,9.3,-6998133.0
1483,California,1999,760009.0,33499.0,10.0,-7092559.0
1534,California,2000,736594.0,33988.0,12.1,-7184676.0
1585,California,2001,608031.0,34479.0,13.0,-7347130.0
1636,California,2002,676209.0,34872.0,12.1,-7331896.0
1687,California,2003,719373.0,35253.0,13.8,-7172888.0
1738,California,2004,697397.0,35575.0,15.2,-7562851.0
1789,California,2005,741140.0,35828.0,17.5,-7424918.0
1840,California,2006,821968.0,36021.0,19.4,-7467301.0
1891,California,2007,631941.0,36250.0,20.1,-7628099.0
1942,California,2008,603931.0,36604.0,23.2,-7471645.0
1993,California,2009,646780.0,36961.0,18.7,-7127529.0
2044,California,2010,715550.0,37321.0,21.1,-7045126.0
2095,California,2011,837314.0,37642.0,24.5,-6931480.0
2146,California,2012,703607.0,37961.0,25.1,-6845833.0
2197,California,2013,741782.0,38281.0,25.1,-6896221.0
2248,California,2014,746468.0,38625.0,25.5,-6838369.0
2299,California,2015,734669.0,38953.0,21.9,-6938041.0
2350,California,2016,927056.0,39209.0,19.9,-6892176.0
2401,California,2017,1115301.0,39399.0,21.8,-6766047.0
2500,California,2018,856300.8,41228.7,23.0,-7518504.2
2501,California,2019,863068.7,41671.9,23.4,-7562318.4
2502,California,2020,869836.6,42115.1,23.9,-7606132.7
2503,California,2021,876604.4,42558.3,24.4,-7649946.9
2504,California,2022,883372.3,43001.4,24.8,-7693761.2
2505,California,2023,890140.2,43444.6,25.3,-7737575.4
2506,California,2024,896908.0,43887.8,25.7,-7781389.7
2507,California,2025,903675.9,44331.0,26.2,-7825204.0
2508,California,2026,910443.8,44774.2,26.7,-7869018.2
2509,California,2027,917211.7,45217.4,27.1,-7912832.5
2510,California,2028,923979.5,45660.6,27.6,-7956646.7
2511,California,2029,930747.4,46103.8,28.1,-8000461.0
2512,California,2030,937515.3,46547.0,28.5,-8044275.2
5,Colorado,1970,21329.0,2223.0,1.5,-656294.0
56,Colorado,1971,25526.0,2304.0,1.7,-666383.0
107,Colorado,1972,22935.0,2405.0,1.7,-733390.0
158,Colorado,1973,23623.0,2496.0,1.9,-778307.0
209,Colorado,1974,24207.0,2541.0,2.5,-762899.0
260,Colorado,1975,24728.0,2586.0,2.9,-759710.0
311,Colorado,1976,23636.0,2632.0,3.1,-795163.0
362,Colorado,1977,23658.0,2696.0,3.5,-811438.0
413,Colorado,1978,29391.0,2767.0,3.8,-820855.0
464,Colorado,1979,33170.0,2849.0,4.9,-822861.0
515,Colorado,1980,28582.0,2909.0,6.5,-809506.0
566,Colorado,1981,28764.0,2978.0,7.9,-787547.0
617,Colorado,1982,31887.0,3062.0,8.4,-801205.0
668,Colorado,1983,35478.0,3134.0,8.2,-795952.0
719,Colorado,1984,39290.0,3170.0,8.1,-828427.0
770,Colorado,1985,41761.0,3209.0,8.2,-827988.0
821,Colorado,1986,43869.0,3237.0,7.3,-815575.0
872,Colorado,1987,32368.0,3260.0,7.4,-833794.0
923,Colorado,1988,32338.0,3262.0,7.2,-867026.0
974,Colorado,1989,30277.0,3276.0,7.6,-884850.0
1025,Colorado,1990,26402.0,3308.0,8.2,-906405.0
1076,Colorado,1991,31891.0,3387.0,8.0,-951693.0
1127,Colorado,1992,27778.0,3496.0,8.1,-956022.0
1178,Colorado,1993,31618.0,3614.0,8.0,-1019332.0
1229,Colorado,1994,27344.0,3724.0,8.3,-1025025.0
1280,Colorado,1995,33514.0,3827.0,8.4,-1044315.0
1331,Colorado,1996,30472.0,3920.0,8.7,-1097379.0
1382,Colorado,1997,33304.0,4018.0,8.8,-1091335.0
1433,Colorado,1998,26261.0,4117.0,8.1,-1143076.0
1484,Colorado,1999,28038.0,4226.0,8.7,-1160910.0
1535,Colorado,2000,27076.0,4327.0,10.2,-1223447.0
1586,Colorado,2001,23726.0,4426.0,10.7,-1328869.0
1637,Colorado,2002,21082.0,4490.0,9.6,-1331644.0
1688,Colorado,2003,21882.0,4529.0,10.8,-1332085.0
1739,Colorado,2004,22470.0,4575.0,12.5,-1359124.0
1790,Colorado,2005,32106.0,4632.0,15.2,-1383498.0
1841,Colorado,2006,43961.0,4720.0,16.9,-1388009.0
1892,Colorado,2007,52316.0,4804.0,17.1,-1431412.0
1943,Colorado,2008,80070.0,4890.0,19.8,-1407472.0
1994,Colorado,2009,80116.0,4972.0,15.5,-1385283.0
2045,Colorado,2010,82190.0,5048.0,17.5,-1433381.0
2096,Colorado,2011,104147.0,5122.0,21.3,-1368574.0
2147,Colorado,2012,102686.0,5194.0,21.8,-1338719.0
2198,Colorado,2013,116979.0,5270.0,21.1,-1351370.0
2249,Colorado,2014,125648.0,5351.0,21.3,-1357159.0
2300,Colorado,2015,123964.0,5452.0,17.2,-1366592.0
2351,Colorado,2016,147633.0,5541.0,15.8,-1305369.0
2402,Colorado,2017,150812.0,5616.0,17.2,-1312052.0
2513,Colorado,2018,94075.5,5563.9,19.1,-1466033.1
2514,Colorado,2019,95966.6,5634.9,19.5,-1483192.2
2515,Colorado,2020,97857.7,5706.0,19.9,-1500351.3
2516,Colorado,2021,99748.8,5777.1,20.2,-1517510.4
2517,Colorado,2022,101639.9,5848.1,20.6,-1534669.5
2518,Colorado,2023,103531.0,5919.2,21.0,-1551828.5
2519,Colorado,2024,105422.1,5990.3,21.4,-1568987.6
2520,Colorado,2025,107313.2,6061.4,21.7,-1586146.7
2521,Colorado,2026,109204.3,6132.4,22.1,-1603305.8
2522,Colorado,2027,111095.4,6203.5,22.5,-1620464.9
2523,Colorado,2028,112986.5,6274.6,22.9,-1637624.0
2524,Colorado,2029,114877.6,6345.6,23.2,-1654783.0
2525,Colorado,2030,116768.7,6416.7,23.6,-1671942.1
6,Connecticut,1970,19293.0,3041.0,2.1,-674637.0
57,Connecticut,1971,20206.0,3061.0,2.4,-662382.0
108,Connecticut,1972,22712.0,3069.0,2.5,-694899.0
159,Connecticut,1973,21870.0,3068.0,2.8,-721194.0
210,Connecticut,1974,22509.0,3074.0,4.1,-691617.0
261,Connecticut,1975,22237.0,3082.0,4.5,-667276.0
312,Connecticut,1976,23862.0,3083.0,4.5,-718247.0
363,Connecticut,1977,24105.0,3086.0,4.9,-724005.0
414,Connecticut,1978,26391.0,3092.0,5.1,-742346.0
465,Connecticut,1979,29359.0,3096.0,6.7,-726333.0
516,Connecticut,1980,43748.0,3113.0,8.9,-684478.0
567,Connecticut,1981,42867.0,3129.0,11.2,-652928.0
618,Connecticut,1982,41444.0,3139.0,11.2,-655295.0
669,Connecticut,1983,48187.0,3162.0,11.2,-640231.0
720,Connecticut,1984,41070.0,3180.0,11.0,-674003.0
771,Connecticut,1985,40282.0,3201.0,11.0,-682788.0
822,Connecticut,1986,35510.0,3224.0,9.5,-704234.0
873,Connecticut,1987,30809.0,3247.0,9.5,-732713.0
924,Connecticut,1988,34409.0,3272.0,9.8,-761062.0
975,Connecticut,1989,36042.0,3283.0,10.4,-775269.0
1026,Connecticut,1990,34712.0,3292.0,11.4,-733514.0
1077,Connecticut,1991,34896.0,3303.0,11.6,-732430.0
1128,Connecticut,1992,38926.0,3301.0,11.4,-761912.0
1179,Connecticut,1993,39111.0,3309.0,11.6,-749999.0
1230,Connecticut,1994,40443.0,3316.0,11.8,-750293.0
1281,Connecticut,1995,46144.0,3324.0,12.2,-727671.0
1332,Connecticut,1996,56055.0,3337.0,12.6,-756766.0
1383,Connecticut,1997,50710.0,3349.0,12.7,-752360.0
1434,Connecticut,1998,49188.0,3365.0,12.1,-733193.0
1485,Connecticut,1999,49290.0,3386.0,12.0,-776186.0
1536,Connecticut,2000,50578.0,3412.0,13.5,-814014.0
1587,Connecticut,2001,29813.0,3433.0,13.5,-799948.0
1638,Connecticut,2002,28314.0,3459.0,13.0,-787627.0
1689,Connecticut,2003,31229.0,3484.0,14.4,-863692.0
1740,Connecticut,2004,30189.0,3496.0,15.9,-877331.0
1791,Connecticut,2005,25728.0,3507.0,19.6,-837991.0
1842,Connecticut,2006,25630.0,3517.0,23.1,-784591.0
1893,Connecticut,2007,23885.0,3527.0,25.3,-818099.0
1944,Connecticut,2008,26251.0,3546.0,29.1,-748325.0
1995,Connecticut,2009,29431.0,3562.0,23.6,-736985.0
2046,Connecticut,2010,30302.0,3579.0,25.6,-737039.0
2097,Connecticut,2011,30578.0,3588.0,28.2,-710419.0
2148,Connecticut,2012,26741.0,3594.0,28.7,-699006.0
2199,Connecticut,2013,29330.0,3595.0,27.8,-724830.0
2250,Connecticut,2014,32031.0,3595.0,28.0,-720201.0
2301,Connecticut,2015,32518.0,3588.0,23.3,-724026.0
2352,Connecticut,2016,32788.0,3579.0,21.9,-691718.0
2403,Connecticut,2017,32292.0,3574.0,23.2,-694097.0
2526,Connecticut,2018,37043.8,3649.2,26.0,-771784.6
2527,Connecticut,2019,37151.3,3662.6,26.5,-773439.7
2528,Connecticut,2020,37258.9,3675.9,27.0,-775094.9
2529,Connecticut,2021,37366.4,3689.3,27.5,-776750.1
2530,Connecticut,2022,37474.0,3702.6,28.1,-778405.3
2531,Connecticut,2023,37581.5,3716.0,28.6,-780060.5
2532,Connecticut,2024,37689.1,3729.3,29.1,-781715.6
2533,Connecticut,2025,37796.6,3742.7,29.6,-783370.8
2534,Connecticut,2026,37904.2,3756.1,30.1,-785026.0
2535,Connecticut,2027,38011.7,3769.4,30.6,-786681.2
2536,Connecticut,2028,38119.3,3782.8,31.1,-788336.4
2537,Connecticut,2029,38226.8,3796.1,31.6,-789991.6
2538,Connecticut,2030,38334.4,3809.5,32.1,-791646.7
8,Delaware,1970,7021.0,551.0,1.7,-212701.0
59,Delaware,1971,7673.0,565.0,1.9,-214680.0
110,Delaware,1972,8190.0,573.0,2.0,-224336.0
161,Delaware,1973,8483.0,578.0,2.2,-237909.0
212,Delaware,1974,8466.0,581.0,3.4,-220421.0
263,Delaware,1975,7901.0,587.0,4.0,-210896.0
314,Delaware,1976,9607.0,590.0,4.0,-219571.0
365,Delaware,1977,10161.0,592.0,4.6,-217505.0
416,Delaware,1978,10667.0,595.0,5.0,-215594.0
467,Delaware,1979,8729.0,595.0,5.9,-235946.0
518,Delaware,1980,2472.0,595.0,7.4,-239868.0
569,Delaware,1981,2006.0,596.0,8.9,-193212.0
620,Delaware,1982,3170.0,599.0,9.1,-183382.0
671,Delaware,1983,2224.0,605.0,9.1,-195693.0
722,Delaware,1984,2927.0,612.0,8.8,-217560.0
773,Delaware,1985,3019.0,618.0,9.1,-211934.0
824,Delaware,1986,2765.0,628.0,7.7,-214307.0
875,Delaware,1987,2162.0,637.0,7.5,-225318.0
926,Delaware,1988,2310.0,648.0,8.0,-231823.0
977,Delaware,1989,2516.0,658.0,8.4,-239102.0
1028,Delaware,1990,1653.0,670.0,8.8,-253751.0
1079,Delaware,1991,1734.0,683.0,8.9,-251545.0
1130,Delaware,1992,1784.0,695.0,8.4,-262427.0
1181,Delaware,1993,2492.0,706.0,8.4,-266091.0
